"country","dependency (country)"
"Spain","Ceuta"
"Spain","Melilla"
"United States","Puerto Rico"
"United States","Guam"
"United States","Virgin Islands"
"United States","American Samoa"
"United States","Northern Mariana Islands"
"France","New Caledonia"
"France","Wallis and Futuna"
"France","Saint Martin"
"France","Mayotte"
"France","Reunion"
"France","French Polynesia"
"France","French Guiana"
"France","Martinique"
"France","Guadeloupe"
"France","Saint Barthelemy"
"France","Saint Pierre and Miquelon"
"Australia","Christmas Island"
"Australia","Cocos Islands"
"Australia","Norfolk Island"
"China","Macao"
"China","Hong Kong"
"Netherlands","Curacao"
"Netherlands","Sint Maarten"
"Netherlands","Aruba"
"Norway","Svalbard"
"Denmark","Greenland"
"Denmark","Faroe Islands"
"New Zealand","Cook Islands"
"New Zealand","Tokelau"
"United Kingdom","Saint Helena"
"United Kingdom","Cayman Islands"
"United Kingdom","Guernsey"
"United Kingdom","Montserrat"
"United Kingdom","Gibraltar"
"United Kingdom","Bermuda"
"United Kingdom","British Virgin Islands"
"United Kingdom","Pitcairn"
"United Kingdom","Turks and Caicos Islands"
"United Kingdom","Isle of Man"
"United Kingdom","Anguilla"
"United Kingdom","Jersey"
"United Kingdom","Falkland Islands"
