"country1","country2"
"Afghanistan","China"
"Afghanistan","Iran"
"Afghanistan","Pakistan"
"Afghanistan","Tajikistan"
"Afghanistan","Turkmenistan"
"Afghanistan","Uzbekistan"
"Albania","Greece"
"Albania","Kosovo"
"Albania","Macedonia"
"Albania","Montenegro"
"Algeria","Libya"
"Algeria","Mali"
"Algeria","Mauritania"
"Algeria","Morocco"
"Algeria","Niger"
"Algeria","Tunisia"
"Algeria","Western Sahara"
"Andorra","France"
"Andorra","Spain"
"Angola","Congo"
"Angola","Namibia"
"Angola","Zaire"
"Angola","Zambia"
"Argentina","Bolivia"
"Argentina","Brazil"
"Argentina","Chile"
"Argentina","Paraguay"
"Argentina","Uruguay"
"Armenia","Azerbaijan"
"Armenia","Georgia"
"Armenia","Iran"
"Armenia","Turkey"
"Austria","Czech Republic"
"Austria","Germany"
"Austria","Hungary"
"Austria","Italy"
"Austria","Liechtenstein"
"Austria","Slovakia"
"Austria","Slovenia"
"Austria","Switzerland"
"Azerbaijan","Armenia"
"Azerbaijan","Georgia"
"Azerbaijan","Iran"
"Azerbaijan","Russia"
"Azerbaijan","Turkey"
"Bangladesh","India"
"Bangladesh","Myanmar"
"Belarus","Latvia"
"Belarus","Lithuania"
"Belarus","Poland"
"Belarus","Russia"
"Belarus","Ukraine"
"Belgium","France"
"Belgium","Germany"
"Belgium","Luxembourg"
"Belgium","Netherlands"
"Belize","Guatemala"
"Belize","Mexico"
"Benin","Burkina Faso"
"Benin","Niger"
"Benin","Nigeria"
"Benin","Togo"
"Bhutan","China"
"Bhutan","India"
"Bolivia","Argentina"
"Bolivia","Brazil"
"Bolivia","Chile"
"Bolivia","Paraguay"
"Bolivia","Peru"
"Bosnia and Herzegovina","Croatia"
"Bosnia and Herzegovina","Montenegro"
"Bosnia and Herzegovina","Serbia"
"Botswana","Namibia"
"Botswana","South Africa"
"Botswana","Zimbabwe"
"Brazil","Argentina"
"Brazil","Bolivia"
"Brazil","Colombia"
"Brazil","French Guiana"
"Brazil","Guyana"
"Brazil","Paraguay"
"Brazil","Peru"
"Brazil","Suriname"
"Brazil","Uruguay"
